date_posted;funny;helpful;hour_played;recommendation;title;Rank;Year;Genre;Publisher;Global_Sales
14-04-2015;0;0;77;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;77;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;77;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;78;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;79;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;80;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;60;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;77;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;96;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;102;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;147;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;173;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;333;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;401;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;553;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;579;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;580;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;677;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;14;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;36;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;82;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
